Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10
Beta_1.80,M320,0.8994612890512,0.868521981002857,0.79874823536572,0.712764963274675,0.633923748362709,0.566531060615672,0.505196931802327,0.463371865006749,0.386127102578537,0.328562089749187,0,0,0,0,0,0,0,0,0,0
Beta_1.80,M321,0.955101109149912,0.930691679664295,0.868749657402528,0.780662851895707,0.686241894953618,0.59871635609954,0.544128887543282,0.501657156082308,0.392401213305067,0.32803434720951,0,0,0,0,0,0,0,1.77652886362775e-221,0,0
Beta_1.80,M322,1.01883674943077,0.999099548738393,0.945027007470871,0.862924078006427,0.776908443070756,0.719604133920527,0.66955700702716,0.560436555544251,0.429916626389282,0.338442069977632,0,0,0,0,0,0,0,3.04827135471603e-207,0,0
Beta_1.80,M323,1.08937471885355,1.08014134273105,1.05227909388233,1.01623684905044,0.975793561834516,0.912275130813147,0.80335753089368,0.65635709858877,0.507227180100784,0.386069472247736,0,0,0,0,0,0,0,1.21930854188641e-207,0,0
Beta_1.80,M324,1.2191057436805,1.25352415291948,1.26854879544506,1.25231375955094,1.19452644464427,1.09045616523317,0.947089665171025,0.782792378090936,0.620057050296626,0.476574203606514,0,0,0,0,0,0,0,3.33123383166342e-51,5.41738438868493e-252,0
Beta_1.80,M325,1.44576731692482,1.4931407016193,1.50103814785084,1.46172230656122,1.3749425214276,1.24688159204868,1.08943713653514,0.917797952982281,0.747179678230221,0.589905209279685,0,0,0,0,0,0,0,3.33123383166342e-51,5.41738438868493e-252,0
Beta_1.80,M326,1.66868149757833,1.6999656076201,1.68562820327921,1.62430861499091,1.52027278066881,1.38165601363196,1.21929898503117,1.04518248842977,0.870806543288526,0.705845970341262,0,0,0,0,0,0,0,4.46376759153242e-23,5.16908456462896e-117,0
Beta_1.80,M327,1.83337111493786,1.84631291248915,1.81621305415194,1.74259775906222,1.63064589324773,1.48814316327235,1.32455584087033,1.14995920858041,0.973993536306808,0.804999268550578,0,0,0,0,0,0,0,4.89030240491368e-48,2.1512350049889e-259,0
Beta_1.80,M328,1.92527458317555,1.92560408941584,1.88866875473616,1.81040687608003,1.69597181496544,1.55268396058022,1.3892452804918,1.21485700713563,1.03836562238265,0.867546177018438,0,0,0,0,0,0,0,4.89030240491368e-48,2.1512350049889e-259,0
Beta_1.80,M329,1.94195398278954,1.93732031997849,1.8998348423744,1.82137810430128,1.70700104482147,1.56390220114094,1.4006624467822,1.22637886758849,1.04982133813485,0.878720626032956,0,0,0,0,0,0,0,1.02066319229169e-21,2.37563720854606e-120,0
Beta_1.80,M330,1.89230509073082,1.88547461761251,1.85182827351955,1.77598012312157,1.6629212607608,1.52011376184691,1.35661893497365,1.18210412814969,1.0058660765639,0.836011995240839,0,0,0,0,0,0,0,9.43790094206075e-05,2.1512350049889e-259,0
Beta_1.80,M331,1.79647795944909,1.79046343530794,1.76339991645973,1.69300607020491,1.58300672174243,1.4412868206651,1.27780083362889,1.12296121911803,0.928146688365186,0.761101246439718,0,0,0,0,0,0,0,2.23363143741783e-13,2.1512350049889e-259,0
Beta_1.80,M332,1.65423629093112,1.65680486578883,1.63347456291731,1.57208556830624,1.4677808479179,1.32946841719762,1.19259413158198,1.04237720809474,0.825449892502058,0.659760651133709,0,0,0,0,0,0,0.000753649606649255,2.27282138663648e-15,2.1512350049889e-259,0
