Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7
Beta_2.05,M545,370,159,1,1,0,1,0,14,668,555,156,88,41,101
Beta_2.05,M546,374,164,1,0,0,0,1,8,669,552,148,79,53,100
Beta_2.05,M547,378,158,0,1,0,0,1,4,690,525,156,70,58,119
Beta_2.05,M548,382,156,0,1,0,0,0,7,668,535,180,68,72,91
Beta_2.05,M549,381,164,0,0,0,0,0,11,677,513,206,79,68,68
Beta_2.05,M550,363,163,1,0,0,0,0,14,660,533,231,82,56,47
Beta_2.05,M551,374,163,2,0,0,0,0,14,654,530,248,67,53,32
Beta_2.05,M552,368,157,4,1,0,0,0,18,644,536,226,71,33,31
Beta_2.05,M553,352,166,1,3,0,0,0,1,668,541,184,69,29,30
Beta_2.05,M554,345,161,0,3,0,0,0,9,655,533,170,33,33,29
Beta_2.05,M555,342,158,2,1,2,0,0,10,666,501,194,31,24,29
Beta_2.05,M556,324,182,1,1,1,1,0,9,651,504,192,24,8,35
Beta_2.05,M557,326,193,0,2,0,1,0,2,661,527,180,27,3,27
Beta_2.05,M558,324,193,0,1,1,0,1,5,627,540,175,32,1,9
Beta_2.05,M559,315,197,0,0,0,0,0,6,642,531,181,41,1,0
Beta_2.05,M560,322,198,0,0,0,0,0,10,639,534,194,49,0,1
Beta_2.05,M561,344,213,0,0,0,0,0,8,650,521,219,36,0,1
Beta_2.05,M562,337,211,0,0,0,0,0,11,667,475,280,37,0,0
Beta_2.05,M563,348,186,0,0,0,0,0,11,658,451,289,39,0,0
Beta_2.05,M564,349,195,0,0,0,0,0,12,700,425,312,47,0,0
Beta_2.05,M565,320,196,0,0,0,0,0,27,689,428,317,68,1,0
Beta_2.05,M566,317,194,0,0,0,0,0,29,699,413,317,82,3,0
Beta_2.05,M567,310,189,0,0,0,0,0,28,716,381,331,84,5,0
Beta_2.05,M568,298,195,1,0,0,0,0,28,737,393,325,98,5,0
Beta_2.05,M569,320,200,1,0,0,0,0,20,735,366,296,144,5,0
Beta_2.05,M570,323,205,0,1,0,0,0,18,761,357,254,157,7,0
Beta_2.05,M571,323,213,0,1,0,0,0,19,782,347,213,183,17,0
Beta_2.05,M572,313,214,0,0,1,0,0,31,784,342,196,188,21,0
Beta_2.05,M573,325,218,1,0,0,0,0,26,806,360,200,183,33,0
Beta_2.05,M574,344,216,5,1,0,0,0,24,809,377,203,162,37,0
Beta_2.05,M575,339,210,2,1,0,0,0,23,800,400,208,139,56,0
Beta_2.05,M576,327,218,0,1,1,0,0,21,804,403,182,134,66,0
Beta_2.05,M577,334,214,0,1,0,0,0,29,804,391,162,125,76,0
Beta_2.05,M578,329,216,0,0,0,0,0,33,805,377,193,84,95,4
Beta_2.05,M579,329,227,1,0,0,0,0,35,813,365,212,58,111,7
Beta_2.05,M580,326,229,1,0,0,0,0,38,807,371,222,53,99,14
Beta_2.05,M581,319,241,0,1,0,0,0,34,802,378,237,50,88,25
Beta_2.05,M582,331,240,2,0,0,0,0,21,773,423,229,46,79,35
Beta_2.05,M583,301,251,3,0,0,0,0,13,761,446,227,41,71,51
Beta_2.05,M584,313,244,0,3,0,0,0,15,757,454,204,48,37,87
Beta_2.05,M585,323,245,1,1,1,0,0,21,737,463,188,69,36,83
Beta_2.05,M586,323,238,1,0,0,1,0,16,732,454,185,75,27,81
Beta_2.05,M587,336,231,2,1,0,1,0,13,732,454,163,86,13,76
Beta_2.05,M588,330,217,2,2,0,0,1,14,722,495,145,93,22,66
Beta_2.05,M589,337,206,0,2,1,0,1,19,690,525,119,80,42,62
Beta_2.05,M590,343,202,0,1,1,0,0,15,695,526,112,69,55,69
Beta_2.05,M591,330,203,0,0,1,0,0,11,686,525,133,59,63,71
Beta_2.05,M592,332,216,0,0,0,0,0,9,686,535,144,64,58,50
Beta_2.05,M593,327,224,0,0,0,0,0,10,692,539,141,65,52,33
