Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39
Beta_1.0,u_397,49,239,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,3,1,0,0,4,4,0,0,1,2,0,4,10,108,602,54
Beta_1.0,u_398,39,254,13,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,2,1,1,1,2,1,2,1,5,9,100,582,40
Beta_1.0,u_399,47,244,14,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2,2,0,1,1,0,3,0,0,2,1,10,113,566,56
Beta_1.0,u_400,56,218,15,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,1,0,0,1,1,0,1,0,0,3,3,1,3,1,9,115,546,79
Beta_1.0,u_401,47,232,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,1,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,1,2,2,1,2,1,0,1,2,1,6,111,576,44
Beta_1.2,u_001,39,162,177,4,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,2,0,0,0,0,0,0,1,6,1,0,0,0,0,3,1,0,0,0,0,0,4,0,1,1,1,0,1,2,1,0,2,2,1,4,0,3,3,2,2,2,8,50,521,251,18
Beta_1.2,u_002,49,160,152,0,3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,5,2,1,1,0,1,2,0,0,0,0,0,1,0,2,2,1,1,0,0,1,0,0,8,0,2,0,1,2,1,1,3,1,8,39,504,224,36
Beta_1.2,u_003,53,158,142,1,0,2,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,2,5,5,0,0,1,1,1,1,0,1,3,0,0,1,2,1,0,0,1,1,0,0,0,0,3,0,1,1,0,0,2,8,2,8,50,508,229,33
Beta_1.2,u_004,42,207,129,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,4,2,1,5,6,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,2,3,1,2,1,0,1,0,1,5,4,59,507,231,25
Beta_1.2,u_005,42,197,184,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,4,4,1,0,1,2,2,0,0,0,2,4,2,4,2,0,0,1,2,0,0,1,0,1,1,2,1,2,2,2,3,2,4,4,11,73,484,255,26
Beta_1.2,u_006,41,191,187,2,0,2,1,0,0,2,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,4,5,1,5,1,1,0,1,0,0,1,2,1,2,0,0,1,2,3,4,7,3,3,0,2,3,0,2,1,1,3,6,12,58,500,232,12
Beta_1.2,u_007,41,157,201,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,3,0,0,0,3,1,0,1,4,1,1,4,3,2,2,4,1,2,0,1,5,3,5,3,0,1,0,2,4,6,3,1,8,56,479,220,18
Beta_1.2,u_008,51,128,204,1,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,2,0,0,2,1,1,4,2,0,0,0,0,0,3,1,1,0,0,0,3,4,2,1,2,3,4,1,4,1,6,0,4,1,2,0,3,6,1,6,10,56,422,267,20
Beta_1.2,u_009,51,144,192,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,2,0,0,0,1,1,1,0,0,1,1,1,0,3,1,0,2,1,3,1,0,3,0,2,0,0,0,0,0,3,0,2,0,1,0,1,5,2,0,1,4,3,5,6,3,8,10,62,431,252,21
Beta_1.2,u_010,51,159,193,0,0,0,0,0,1,1,0,1,0,2,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,2,0,0,0,2,0,0,4,1,1,0,0,1,0,1,1,1,2,1,1,3,1,1,0,3,1,1,1,0,0,0,0,0,4,1,1,2,0,1,6,7,55,442,313,24
Beta_1.2,u_011,36,177,202,2,1,2,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,2,0,2,4,2,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,2,0,4,0,1,2,1,2,1,2,2,1,0,1,1,11,42,499,290,40
Beta_1.2,u_012,26,182,193,4,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2,0,0,2,0,0,2,4,0,0,5,0,0,1,0,0,0,0,2,0,0,1,0,1,2,0,2,0,2,2,1,2,1,3,2,6,2,4,0,9,52,524,254,44
Beta_1.2,u_013,37,166,168,0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,5,1,0,0,0,3,1,0,0,0,0,0,4,2,0,2,1,0,0,0,0,2,3,1,1,6,2,3,2,2,2,2,1,9,63,519,236,31
Beta_1.2,u_014,45,160,156,4,2,2,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,3,1,0,1,2,0,1,0,0,0,0,0,1,3,1,1,1,0,0,0,1,7,2,0,2,1,0,1,3,2,2,2,10,54,510,215,26
Beta_1.2,u_015,46,173,127,1,1,2,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,1,0,3,4,4,0,0,1,2,0,1,2,1,0,1,0,3,0,0,1,1,0,0,1,0,0,3,0,1,0,0,1,0,6,6,1,8,43,519,219,31
