Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B1_46,B1_47,B1_48,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45,B2_46,B2_47,B2_48
Beta_1.4,u_331,8,52,213,298,2,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,1,3,2,0,0,0,2,3,0,1,3,2,0,2,1,1,1,0,0,4,0,1,2,0,5,1,0,1,1,0,0,0,6,4,1,0,3,8,7,21,119,573,207,43,7
Beta_1.4,u_332,10,45,182,310,11,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,1,4,2,1,0,1,0,0,1,4,1,0,2,2,2,1,0,1,1,1,1,1,3,1,5,1,5,0,2,24,115,586,202,55,10
Beta_1.4,u_333,18,39,163,290,13,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,1,0,0,4,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,4,2,2,0,3,0,1,2,5,0,2,4,3,0,4,22,107,623,247,42,7
Beta_1.4,u_334,21,46,142,292,5,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,4,1,0,0,2,0,2,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2,0,0,1,1,2,0,1,2,2,2,2,5,3,8,25,133,659,206,47,10
Beta_1.4,u_335,15,62,134,264,13,1,0,0,0,0,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,3,3,5,0,1,0,0,0,0,0,0,1,0,0,0,1,2,1,0,3,0,0,1,1,0,0,1,1,1,3,3,0,0,0,2,0,0,1,3,3,9,22,112,697,208,48,4
Beta_1.4,u_336,19,59,180,236,9,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,2,4,0,0,0,2,2,2,0,3,2,0,0,1,1,0,2,0,0,0,2,0,0,0,2,0,2,1,4,0,2,4,1,0,1,0,1,2,1,4,17,130,693,194,49,3
Beta_1.4,u_337,18,70,176,235,8,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,1,2,0,0,0,0,1,0,0,1,1,0,4,1,2,3,0,1,4,2,0,1,0,1,0,0,1,0,0,3,2,0,3,3,3,9,19,121,705,188,25,7
Beta_1.4,u_338,27,69,191,227,6,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,7,5,0,0,0,0,0,2,0,1,0,0,0,0,1,2,1,0,0,1,1,2,0,2,1,1,0,0,5,1,2,4,0,4,4,2,2,1,2,16,111,682,173,29,12
Beta_1.4,u_339,21,58,193,250,11,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,1,1,0,0,0,4,4,1,2,1,2,0,2,3,1,2,3,3,1,0,0,0,0,1,1,0,4,0,2,1,0,0,0,2,4,0,1,1,0,1,4,2,0,0,3,26,109,645,166,62,1
Beta_1.4,u_340,19,56,206,249,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,7,5,1,0,0,0,0,2,3,1,0,1,2,4,1,2,1,1,2,3,3,1,3,3,4,0,0,0,0,1,2,0,4,2,2,2,4,0,6,21,115,587,171,21,13
Beta_1.4,u_341,17,52,204,283,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,2,2,4,1,1,1,0,2,0,2,0,2,3,3,2,0,0,0,0,0,0,0,5,4,0,1,3,2,5,2,2,2,0,4,4,0,2,2,5,2,10,21,107,602,188,42,7
Beta_1.4,u_342,8,52,211,285,5,1,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,1,2,3,1,0,0,0,3,3,0,3,3,1,1,1,0,2,0,1,1,2,0,2,1,3,4,0,0,0,1,1,1,1,7,2,1,2,5,9,27,102,591,191,54,4
