Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45
Beta_1.8,u_090,7,74,78,88,131,58,24,7,4,0,5,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,2,0,1,1,0,0,1,0,1,1,0,0,1,2,0,0,0,0,0,5,2,4,0,5,2,2,5,0,2,0,4,2,1,4,2,2,4,1,3,1,4,4,3,5,8,4,5,6,4,15,10,7,14,16,39,63,196,318,209,67,31,4
Beta_1.8,u_091,7,76,77,96,119,47,10,11,2,3,1,1,0,0,2,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,3,1,0,0,0,2,0,2,1,0,0,0,1,2,0,0,2,1,1,2,0,1,2,4,4,4,5,1,0,3,2,1,0,5,5,5,2,3,4,2,4,3,4,7,4,6,6,15,5,13,22,23,33,71,208,271,177,75,38,14
Beta_1.8,u_092,16,63,74,107,138,41,8,8,2,1,2,1,2,1,1,0,1,3,0,0,1,0,2,1,0,0,2,0,1,0,0,2,1,1,0,1,1,1,0,0,1,1,2,0,1,0,1,1,4,1,1,0,1,0,4,1,1,0,2,3,1,0,3,0,1,4,4,5,4,7,3,10,7,5,3,1,12,16,17,5,11,19,37,85,226,271,153,89,55,13
Beta_1.8,u_093,11,69,92,119,124,39,7,4,5,7,1,2,0,1,1,0,1,2,0,0,1,1,1,1,0,0,0,0,0,1,0,1,3,2,0,0,1,0,2,1,0,1,1,0,0,0,0,0,4,0,5,1,3,0,4,2,2,1,2,0,2,4,4,0,0,0,3,3,8,4,5,3,7,6,4,9,5,5,5,9,13,31,52,99,216,270,180,83,38,5
Beta_1.8,u_094,10,58,69,130,131,57,8,2,1,1,5,0,1,1,2,0,2,0,4,0,0,0,1,0,1,1,2,1,0,1,0,0,1,0,0,0,0,2,0,1,4,2,1,0,0,0,1,1,4,1,3,1,2,3,0,0,0,1,1,0,0,5,2,4,4,2,2,0,4,2,8,9,5,2,4,5,4,10,7,12,10,24,39,103,233,270,193,99,50,2
Beta_1.8,u_095,12,65,75,88,136,48,19,6,0,3,1,1,2,3,1,1,0,0,1,0,0,0,0,0,2,0,0,0,3,1,1,2,1,0,1,1,1,0,1,1,2,1,0,0,0,0,3,5,0,5,4,1,0,3,1,2,0,1,3,3,1,0,2,4,2,5,2,1,5,2,4,3,5,1,7,16,7,4,3,8,11,16,38,108,219,272,196,119,40,10
Beta_1.8,u_096,14,76,67,77,110,47,18,3,2,2,2,4,0,3,2,2,1,3,1,0,1,1,2,0,0,0,2,0,1,2,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,1,2,4,3,3,2,2,5,2,2,2,1,2,1,2,6,6,1,1,1,1,3,2,2,7,9,3,7,4,9,8,10,9,9,8,20,30,90,187,332,228,106,38,9
Beta_1.8,u_097,5,80,88,67,119,44,18,5,8,3,0,0,5,1,1,1,1,1,1,0,0,1,1,0,2,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,6,2,0,3,1,5,2,6,2,2,0,2,3,4,4,5,5,3,4,3,5,5,2,3,3,3,10,12,6,3,4,7,13,17,85,242,328,216,85,29,1
Beta_1.8,u_098,15,81,77,92,113,42,14,1,7,3,2,1,1,2,0,2,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,2,3,1,2,3,0,3,3,1,0,3,2,5,4,6,0,0,2,4,4,7,4,4,9,0,5,0,4,8,5,6,7,8,9,25,40,100,211,314,203,57,27,2
Beta_1.8,u_099,18,83,91,79,105,40,13,3,4,2,0,0,3,2,1,0,0,1,2,0,0,0,1,0,1,1,2,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,3,4,4,3,3,1,2,1,1,0,0,1,2,1,4,4,3,2,5,3,3,3,4,2,2,4,7,6,6,8,5,6,13,16,28,47,80,236,300,153,73,39,2
