Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B1_46,B2_ 1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45,B2_46
Beta_1.8,u_003,6,86,77,75,79,51,15,7,1,4,5,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,2,1,0,0,0,0,0,0,1,2,1,1,1,0,0,0,1,0,0,1,1,1,1,2,3,5,1,3,1,2,0,4,1,4,4,4,3,2,1,2,3,5,2,3,3,3,1,0,7,12,7,9,11,6,10,13,53,91,219,301,189,85,36,1
Beta_1.8,u_004,8,73,73,74,107,55,10,5,5,2,2,1,2,1,3,1,2,1,0,1,0,0,0,2,1,0,1,0,2,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,2,3,2,1,0,1,0,6,3,6,0,1,3,2,1,4,2,1,4,3,4,1,3,5,3,3,4,3,4,15,4,9,7,9,15,9,13,29,82,266,293,148,70,37,11
Beta_1.8,u_005,14,65,73,67,121,63,8,4,3,4,4,2,2,1,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,2,0,2,1,0,0,0,0,0,2,5,2,3,3,1,0,4,1,4,1,1,1,1,0,0,1,2,2,2,4,14,9,4,4,8,4,5,5,4,4,13,4,6,7,22,32,93,239,268,171,96,49,8
Beta_1.8,u_006,5,84,82,78,109,57,13,2,3,2,3,2,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,3,0,0,2,1,1,1,2,0,0,0,0,2,1,0,5,1,1,2,2,1,1,1,0,0,3,3,2,2,4,2,1,4,6,5,2,1,4,1,5,3,2,6,3,5,14,20,29,38,110,204,238,190,68,50,4
Beta_1.8,u_007,10,55,87,92,129,54,12,2,3,1,1,1,0,1,0,1,0,0,0,1,0,0,4,0,1,1,0,1,2,0,0,1,0,2,0,1,0,1,0,2,1,1,0,1,2,0,0,0,0,3,3,2,0,6,0,2,1,2,1,2,2,1,0,3,4,4,0,2,0,3,3,1,7,1,0,2,2,5,9,12,19,21,16,24,37,87,195,283,159,97,67,6
Beta_1.8,u_008,8,64,82,92,112,52,6,2,2,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,3,0,1,1,0,0,0,2,1,1,0,1,0,0,0,2,0,0,0,0,0,1,2,0,5,2,1,2,1,1,0,3,2,2,1,1,1,1,5,4,2,3,5,3,2,0,4,2,5,10,14,14,6,9,13,14,24,36,78,202,297,164,92,39,1
Beta_1.8,u_009,10,63,94,78,112,59,15,5,5,3,1,1,0,2,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,2,0,0,0,0,1,2,0,0,3,3,0,0,0,0,2,3,2,1,2,3,2,1,1,5,2,2,2,1,0,2,3,2,1,2,3,3,1,4,1,2,4,5,3,6,9,8,5,13,16,18,20,40,82,235,249,156,104,40,0
Beta_1.8,u_010,12,63,83,111,94,55,10,8,2,2,1,0,1,1,0,1,0,1,2,0,0,0,0,0,3,1,1,1,0,3,0,3,0,0,3,0,1,1,1,0,0,3,0,1,0,0,0,1,3,1,2,0,2,2,2,0,3,3,4,5,1,5,3,4,2,1,0,5,3,0,3,3,4,2,3,4,3,6,6,5,4,13,8,14,31,99,237,265,187,102,35,4
Beta_1.8,u_011,9,76,79,102,106,36,6,3,1,4,2,3,1,1,1,2,2,2,0,2,1,0,0,1,1,0,1,1,0,2,2,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,3,3,5,1,1,3,6,2,2,1,2,0,1,1,1,0,2,0,2,5,2,1,4,3,8,8,3,12,6,5,2,3,5,5,4,12,40,108,240,272,165,114,48,7
Beta_1.8,u_012,8,84,65,75,106,46,12,3,0,3,1,3,0,1,1,3,0,0,1,0,2,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,3,5,0,0,1,4,3,1,1,4,2,0,1,3,3,2,2,4,6,5,1,4,4,1,5,2,2,4,7,9,8,26,48,91,265,294,179,104,46,3
Beta_1.8,u_013,14,69,78,75,127,54,6,2,3,3,0,2,2,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,2,0,0,0,0,2,0,3,1,2,6,4,2,2,2,1,2,1,1,3,1,2,4,2,4,3,3,3,4,4,1,4,5,5,4,2,3,13,19,11,19,46,85,231,271,205,79,48,5
Beta_1.8,u_014,12,69,81,79,107,68,13,5,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,0,0,1,0,3,1,0,0,0,1,1,1,0,0,0,0,0,1,3,3,5,4,2,1,4,6,1,0,0,2,1,2,1,2,2,5,6,3,7,5,1,2,5,1,5,0,10,11,4,9,7,9,10,14,40,85,246,304,169,79,43,6
Beta_1.8,u_015,18,88,68,71,110,63,12,5,2,0,2,0,0,1,1,0,0,1,1,0,0,1,1,1,0,2,1,0,1,1,0,0,1,0,0,0,1,0,0,0,7,1,0,2,1,0,0,0,3,5,4,3,1,5,2,2,0,5,1,3,3,3,0,2,2,1,3,2,8,6,2,5,7,8,4,5,5,4,8,12,19,16,7,18,33,74,197,270,162,84,35,2
Beta_1.8,u_016,11,63,96,90,115,58,11,3,1,2,2,1,1,1,1,0,2,1,0,0,0,2,1,0,0,1,0,3,4,0,0,0,0,1,2,1,0,0,0,1,0,2,0,3,1,0,0,1,1,1,2,5,2,5,0,3,0,0,3,2,2,3,1,0,3,8,5,4,2,2,0,2,3,4,13,11,11,11,1,9,3,11,14,20,26,86,212,284,156,76,42,6
Beta_1.8,u_017,7,73,61,97,112,64,14,4,2,7,3,1,2,2,3,0,0,1,0,1,0,2,1,0,1,0,0,0,1,0,1,0,1,1,2,0,1,0,1,0,0,2,0,1,0,0,1,0,0,1,0,3,1,0,3,0,0,6,2,0,4,2,2,8,0,2,4,3,4,5,4,3,1,5,3,1,2,4,5,5,9,13,3,9,31,97,230,234,137,92,43,2
Beta_1.8,u_018,7,65,68,127,101,53,18,9,1,3,1,0,1,0,1,2,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,2,4,0,0,0,0,2,1,4,3,0,0,2,0,2,2,1,2,1,1,4,2,3,1,1,0,1,2,0,3,8,4,3,1,3,7,7,12,4,10,7,12,38,115,244,231,170,91,53,9
Beta_1.8,u_019,13,73,65,107,117,52,14,2,2,2,1,0,1,1,0,2,0,2,0,0,0,0,1,0,0,2,0,1,1,1,1,0,2,0,3,2,1,2,0,2,0,2,3,1,1,0,0,2,3,2,1,1,2,1,0,4,3,1,0,3,3,0,1,1,1,1,0,5,2,1,3,2,3,1,4,4,5,5,4,7,5,2,8,13,49,117,231,279,161,113,56,1
Beta_1.8,u_020,11,71,76,84,123,61,6,3,1,0,2,3,0,4,4,2,0,1,1,2,4,0,0,2,2,0,0,1,1,1,2,1,1,0,1,0,1,1,0,1,0,1,2,2,1,0,0,2,1,3,3,3,1,1,1,3,1,2,2,1,1,0,0,1,3,2,0,0,2,8,4,3,3,4,3,1,2,5,6,9,7,5,11,10,46,102,218,288,182,91,56,11
Beta_1.8,u_021,9,84,77,44,116,59,16,6,2,4,1,1,2,0,2,1,2,1,1,1,0,0,1,1,0,0,1,0,0,0,0,2,1,2,2,1,0,1,0,1,1,0,1,0,1,0,0,1,1,2,1,5,1,3,2,0,0,4,2,3,1,0,4,3,2,1,3,2,3,3,0,4,4,2,4,0,0,3,5,7,4,6,11,21,44,115,252,299,210,87,45,4
Beta_1.8,u_022,12,79,66,72,105,51,23,5,4,1,0,1,0,0,0,1,1,0,3,1,0,1,0,1,0,1,0,0,1,2,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,2,1,0,6,4,1,2,1,1,1,1,2,1,4,1,2,0,0,2,4,1,3,7,6,3,6,5,5,5,4,3,12,4,10,21,43,134,234,293,180,74,42,18
Beta_1.8,u_023,10,80,78,80,122,46,18,4,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,6,2,10,2,2,3,3,2,1,1,5,3,4,2,5,0,4,2,5,4,4,3,4,2,1,3,1,5,5,4,4,5,3,14,8,26,32,113,244,300,159,62,27,15
Beta_1.8,u_024,16,75,89,82,118,50,12,6,1,3,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2,0,0,0,0,5,2,6,3,4,2,5,3,2,1,0,3,3,4,5,4,7,3,1,4,1,5,4,4,5,3,8,3,9,9,8,3,8,9,10,17,38,87,241,280,149,67,54,0
Beta_1.8,u_025,15,71,89,75,136,46,10,5,2,2,1,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,2,0,1,0,1,2,4,0,0,1,1,2,0,0,1,2,3,1,5,5,3,3,1,1,2,0,3,1,2,3,2,1,2,4,4,4,5,4,2,3,4,8,9,5,12,5,9,9,5,12,13,21,37,89,228,270,155,53,29,9
Beta_1.8,u_026,15,54,75,96,128,66,20,7,1,0,0,1,1,1,0,0,4,0,1,1,1,0,1,3,1,1,3,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,4,2,1,1,2,4,3,2,1,0,2,2,3,3,5,2,4,3,3,2,4,4,4,1,7,7,3,5,4,3,10,6,9,20,37,94,236,240,164,100,49,0
Beta_1.8,u_027,2,66,73,99,143,51,18,5,3,2,5,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,2,3,0,0,0,0,2,2,3,3,1,2,1,1,0,2,2,2,1,1,3,0,1,3,0,0,3,6,0,4,2,1,7,3,5,4,10,3,4,3,10,22,41,90,219,264,171,113,52,0
Beta_1.8,u_028,6,59,74,94,124,51,8,5,3,2,3,1,2,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,3,3,0,0,1,2,2,0,1,1,1,2,0,1,0,0,2,0,0,0,2,1,1,3,0,2,2,1,0,3,3,1,3,3,3,2,0,0,1,4,3,2,2,4,1,4,3,6,4,10,11,13,26,107,247,254,184,87,41,19
Beta_1.8,u_029,7,68,80,86,128,54,7,3,3,2,1,2,0,0,0,1,1,0,5,2,0,1,1,2,0,1,1,1,0,0,1,0,2,1,0,4,0,2,0,1,2,0,0,0,0,0,0,3,4,1,2,1,2,3,1,1,0,0,6,1,0,0,2,2,0,2,2,0,4,1,5,2,5,3,5,1,9,4,8,4,5,9,7,20,36,101,231,283,174,87,47,17
Beta_1.8,u_030,7,89,65,71,110,56,10,8,2,3,1,1,2,0,0,2,0,1,2,0,1,2,0,0,1,0,0,1,0,2,0,0,0,0,1,1,2,1,0,0,1,1,0,0,0,0,0,0,3,1,2,1,6,1,2,1,2,0,1,0,0,1,0,0,0,4,4,6,3,1,0,2,4,4,1,6,6,4,3,2,6,7,14,23,44,118,262,300,202,73,26,9
