Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36
Beta_1.4,u_373,36,107,407,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,2,0,0,0,0,0,0,1,2,0,0,2,8,2,6,0,0,0,0,3,0,1,1,3,3,3,0,4,6,4,1,3,2,3,0,1,5,2,1,3,4,10,130,688,130,15
Beta_1.4,u_374,30,108,440,7,0,1,0,0,0,1,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,3,3,6,1,0,2,1,3,3,1,2,5,3,0,1,2,0,0,2,1,3,2,3,4,2,1,7,6,0,6,16,117,706,126,16
Beta_1.4,u_375,23,88,459,12,2,0,1,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2,0,0,0,2,1,1,1,4,2,0,2,2,9,0,2,0,2,0,4,0,3,1,3,6,3,0,0,0,0,6,2,5,17,122,689,146,14
Beta_1.4,u_376,34,70,426,8,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,1,0,2,0,0,1,2,0,0,0,1,0,0,0,1,0,2,0,5,2,0,1,1,2,4,7,0,3,3,1,2,2,3,2,10,21,117,695,164,24
Beta_1.4,u_377,29,75,411,7,0,1,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,2,5,2,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,4,2,5,2,3,0,2,6,10,9,119,776,160,20
Beta_1.4,u_378,35,70,373,12,0,0,0,2,2,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,3,3,0,0,0,2,3,1,1,0,0,1,3,0,1,2,0,0,0,1,1,0,1,3,0,2,0,4,5,4,17,135,780,157,15
Beta_1.4,u_379,32,90,350,5,0,2,0,0,3,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,3,5,2,3,2,0,0,0,0,0,1,0,0,1,2,2,3,3,0,2,3,0,3,0,2,1,1,3,1,4,13,133,804,143,26
Beta_1.4,u_380,46,88,367,11,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,2,2,3,1,1,0,1,0,1,0,4,3,1,4,0,0,0,0,0,3,1,2,0,0,2,4,4,5,1,0,2,20,124,819,127,6
Beta_1.4,u_381,45,105,345,5,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,4,3,2,0,0,1,0,0,1,2,1,0,0,3,0,3,1,2,0,2,2,6,0,2,1,1,1,3,0,11,135,818,74,7
Beta_1.4,u_382,37,108,369,11,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,10,3,5,0,0,0,1,1,0,2,2,0,0,1,3,3,1,0,3,1,1,1,0,5,2,1,0,5,5,21,124,772,89,15
