Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31
Beta_1.0,u_391,82,253,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,7,0,2,2,1,2,1,0,3,4,4,3,0,0,0,2,2,1,7,27,567,128
Beta_1.0,u_392,91,256,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,1,3,1,0,1,1,2,6,3,1,3,2,0,4,1,3,5,3,3,1,34,560,124
Beta_1.0,u_393,90,254,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,1,1,1,0,1,0,0,1,0,1,0,3,4,2,0,1,3,2,9,0,2,2,2,3,25,512,136
Beta_1.0,u_394,92,236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,5,1,0,0,1,1,2,0,2,2,0,0,2,0,0,0,0,1,1,4,4,0,0,6,12,30,513,126
Beta_1.0,u_395,81,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,3,1,2,0,0,1,0,3,3,0,0,0,1,0,0,2,1,1,3,0,3,0,1,1,0,1,5,36,503,159
Beta_1.0,u_396,88,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,2,0,1,4,0,0,0,1,0,1,1,0,0,0,1,0,1,5,1,1,0,1,2,0,1,2,4,3,0,3,30,515,169
Beta_1.0,u_397,83,217,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,2,2,0,0,8,0,0,2,1,7,23,563,185
Beta_1.0,u_398,86,220,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,3,1,2,1,3,0,9,23,591,114
Beta_1.0,u_399,83,222,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,2,3,1,1,1,0,3,0,2,1,35,573,137
Beta_1.0,u_400,86,203,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,2,0,0,0,0,0,0,0,1,1,0,0,2,1,0,1,0,0,1,1,0,1,1,3,3,3,1,32,558,159
