Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33
Beta_1.2,u_205,49,288,57,0,0,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,2,3,6,2,1,0,0,0,0,0,0,6,1,0,1,0,1,2,0,2,2,2,0,0,2,4,1,5,1,3,21,219,596,38
Beta_1.2,u_206,47,275,50,0,1,1,0,0,1,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,5,2,0,0,1,1,3,2,0,1,0,0,0,0,0,0,0,6,4,0,3,1,4,4,4,0,4,1,20,229,598,34
Beta_1.2,u_207,53,273,38,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,2,6,2,0,1,1,1,0,2,0,0,0,1,0,3,2,1,1,2,0,1,3,2,0,1,3,10,1,6,22,249,548,25
Beta_1.2,u_208,59,269,46,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,6,1,2,0,0,0,2,1,0,1,0,2,1,2,1,1,1,0,1,1,1,4,3,1,5,0,2,4,19,286,534,34
Beta_1.2,u_209,68,280,33,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,3,2,12,3,0,0,1,1,0,2,1,2,0,0,1,3,2,1,0,0,0,3,0,1,3,1,2,3,3,1,21,281,507,35
Beta_1.2,u_210,51,312,38,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,3,1,0,0,0,4,1,3,3,0,9,3,1,0,0,0,1,0,0,0,2,2,3,0,1,0,2,4,3,2,1,6,2,21,281,487,41
Beta_1.2,u_211,47,319,36,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,3,1,3,3,1,0,1,0,0,0,2,3,1,4,0,5,3,4,2,0,2,2,1,1,2,1,3,1,7,2,2,22,289,494,32
Beta_1.2,u_212,50,317,29,0,1,0,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0,5,2,4,2,0,0,1,1,0,0,1,2,2,2,1,5,2,2,5,3,4,5,7,1,1,0,2,1,22,260,484,33
Beta_1.2,u_213,53,318,32,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,1,2,0,2,1,3,0,0,2,1,1,2,1,1,4,1,2,0,4,3,5,0,0,2,1,2,2,0,4,3,2,3,10,18,242,504,37
Beta_1.2,u_214,58,302,45,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,1,1,0,0,2,1,1,3,3,0,2,0,1,1,0,1,4,2,2,2,1,1,0,6,2,0,2,4,0,7,1,4,1,2,18,237,506,43
Beta_1.2,u_215,51,302,45,1,2,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,2,2,1,0,2,0,1,3,0,0,3,0,3,0,2,1,2,0,4,4,0,4,1,2,2,4,6,0,2,15,215,552,48
Beta_1.2,u_216,53,301,46,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,3,0,1,0,1,4,0,4,0,0,0,1,0,1,3,1,0,0,1,4,0,1,3,0,2,1,0,3,1,1,8,0,5,14,218,589,30
