Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44
Beta_1.0,u_040,52,182,58,0,3,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,1,1,1,1,0,1,2,8,0,2,1,0,0,0,2,0,3,25,253,263,75
Beta_1.0,u_041,39,196,42,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,4,2,1,0,2,0,0,0,0,0,0,1,0,1,0,1,2,1,2,0,0,1,0,1,2,1,3,3,0,1,0,11,7,18,250,284,63
Beta_1.0,u_042,67,169,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,1,0,1,0,0,1,0,0,5,1,1,0,1,2,0,0,2,0,0,0,0,0,1,4,2,2,3,1,2,2,0,2,34,240,281,89
Beta_1.0,u_043,83,176,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,4,1,1,1,0,1,3,0,1,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,4,3,0,2,1,2,0,0,0,1,1,0,0,0,7,38,197,332,87
Beta_1.0,u_044,55,221,47,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,1,2,1,0,0,0,0,2,1,1,3,3,0,0,1,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,2,2,1,0,3,4,37,164,401,60
Beta_1.0,u_045,53,208,45,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,4,1,1,3,1,2,0,1,0,1,0,3,0,0,0,2,3,0,1,0,0,1,0,4,1,0,1,1,2,2,6,24,186,429,38
Beta_1.0,u_046,49,181,68,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,4,1,0,2,4,3,0,0,0,3,1,2,3,0,0,3,3,1,1,2,2,10,17,196,363,50
Beta_1.0,u_047,46,153,71,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,5,0,5,3,2,3,4,3,1,1,0,1,2,3,8,27,191,355,68
Beta_1.0,u_048,44,151,84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,1,1,4,3,0,6,1,8,6,22,178,345,69
Beta_1.0,u_049,53,140,80,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,4,1,2,16,183,348,76
Beta_1.0,u_050,67,143,63,5,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,1,0,5,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,2,0,1,4,18,182,382,96
Beta_1.0,u_051,39,174,63,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,2,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,3,0,2,0,1,3,2,0,19,215,406,60
Beta_1.0,u_052,25,213,40,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,3,1,0,0,1,2,1,0,0,1,3,0,1,1,2,3,15,245,334,51
Beta_1.0,u_053,46,201,52,4,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,1,2,3,0,0,2,2,1,0,0,2,1,0,1,2,1,4,16,268,279,49
Beta_1.0,u_054,59,168,56,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,3,1,1,1,1,0,0,0,0,0,0,0,2,0,0,1,1,0,1,1,0,2,0,1,2,0,1,1,2,0,3,3,0,0,2,0,6,19,254,280,71
Beta_1.0,u_055,69,159,40,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,3,1,0,0,2,1,0,0,1,0,1,0,0,3,1,0,1,1,0,0,1,3,2,2,1,1,1,2,2,2,25,272,286,60
