Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B1_46,B1_47,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45,B2_46,B2_47
Beta_1.8,u_189,14,69,86,68,101,39,10,4,2,3,7,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,2,3,2,6,5,2,1,2,2,2,0,4,0,1,7,1,3,2,0,1,1,4,4,7,4,2,3,5,3,3,4,3,6,16,25,24,48,53,99,215,237,179,81,43,1
Beta_1.8,u_190,12,80,84,83,115,56,15,5,5,4,2,1,3,2,3,2,0,1,1,0,0,1,1,1,0,0,2,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,2,4,1,1,4,2,0,6,2,4,3,0,1,1,4,2,5,4,7,2,3,4,3,3,2,4,6,1,5,12,8,8,8,12,11,22,18,20,34,95,196,239,159,73,40,1
Beta_1.8,u_191,8,84,72,73,102,53,25,5,3,5,2,3,0,2,0,3,0,2,1,0,3,0,0,1,2,0,0,0,1,1,0,0,1,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,3,4,2,4,3,2,0,2,3,2,3,6,3,0,3,1,2,1,2,2,7,0,2,6,7,4,4,8,5,6,9,7,8,18,13,13,14,26,39,107,236,249,156,50,50,5
Beta_1.8,u_192,9,60,78,80,128,60,38,9,7,2,2,1,0,0,1,2,0,1,1,0,0,1,1,0,1,1,1,2,1,0,0,1,0,0,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,4,2,3,2,1,3,3,3,3,2,5,4,2,2,3,0,2,1,2,1,3,5,5,7,5,8,7,5,4,3,6,4,10,12,8,11,33,53,102,206,207,170,80,39,8
Beta_1.8,u_193,8,63,83,82,117,39,27,12,10,4,4,1,3,2,0,2,1,1,0,0,0,0,0,2,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,2,2,1,1,1,1,0,0,1,1,0,4,1,1,4,3,2,4,4,3,7,4,1,8,3,12,7,7,3,3,7,3,8,11,10,14,24,47,88,210,252,121,80,73,1
Beta_1.8,u_194,7,76,59,98,119,45,7,7,0,3,3,3,3,2,1,1,1,0,1,0,1,0,0,0,0,1,2,0,1,1,0,0,0,1,1,3,1,2,0,1,0,0,2,0,0,0,1,0,0,2,3,0,1,4,1,0,1,2,0,4,2,1,0,2,1,2,3,2,1,2,1,3,2,4,1,3,3,9,11,12,8,15,9,15,18,26,41,106,231,256,143,79,40,4
Beta_1.8,u_195,9,65,74,84,94,65,11,11,4,4,0,2,2,4,2,2,2,0,1,0,1,2,2,2,1,1,0,0,0,0,1,0,2,0,1,2,2,1,0,3,1,0,1,0,1,1,0,0,0,4,1,4,5,2,0,2,1,0,0,2,1,1,1,1,1,1,3,0,2,2,1,5,4,4,10,5,5,8,6,6,10,15,9,11,19,23,56,117,231,198,176,77,54,9
Beta_1.8,u_196,8,69,54,84,102,55,23,7,13,3,0,6,0,0,0,1,3,3,1,1,0,0,1,0,0,1,2,2,1,0,1,0,1,1,1,0,2,0,1,0,1,0,2,0,2,0,0,0,2,0,1,1,1,1,1,1,5,5,2,1,2,8,1,4,1,1,0,3,5,3,0,1,1,2,1,8,3,6,2,7,6,5,12,18,22,43,67,101,209,232,159,78,50,4
Beta_1.8,u_197,9,77,64,90,103,47,13,4,3,1,1,1,4,0,1,1,1,0,2,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,2,2,1,1,1,1,1,0,0,0,2,0,3,1,5,3,1,0,5,5,10,7,7,9,6,3,4,5,5,15,14,20,28,49,54,124,190,257,174,43,43,1
Beta_1.8,u_198,9,78,81,79,100,59,7,4,3,2,4,0,3,0,1,1,1,1,1,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,2,2,1,0,0,2,1,4,0,3,2,1,4,2,0,4,5,1,3,2,0,2,1,2,1,1,3,4,5,2,0,2,2,3,11,9,9,20,11,13,11,33,39,60,107,212,215,148,81,41,2
Beta_1.8,u_199,17,66,72,70,123,55,16,8,3,2,2,2,3,2,0,2,3,2,0,0,0,2,0,1,0,1,0,0,0,1,0,0,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,3,2,1,3,6,3,3,1,2,2,5,2,2,1,2,2,3,1,2,4,3,5,3,7,6,6,19,9,8,2,3,2,5,6,8,17,19,26,52,117,200,244,120,69,69,4
Beta_1.8,u_200,10,83,76,72,107,56,21,17,17,6,0,1,1,1,1,0,0,3,1,2,3,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,1,0,0,0,2,2,0,0,0,0,0,1,2,3,6,4,3,1,3,0,0,0,1,3,2,3,3,6,1,1,7,4,8,9,6,4,7,7,6,5,4,5,12,7,11,9,13,26,56,117,237,243,163,64,29,5
Beta_1.8,u_201,11,71,62,106,121,44,24,10,5,5,1,2,3,4,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,4,4,2,2,1,3,2,1,1,0,1,0,2,2,7,3,4,4,2,3,2,3,1,3,3,7,12,6,13,5,12,20,13,20,19,41,115,243,221,130,68,40,11
