Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B1_46,B1_47,B1_48,B1_49,B1_50,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45,B2_46,B2_47,B2_48,B2_49,B2_50
Beta_1.4,u_262,15,63,136,297,17,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,3,2,6,0,1,4,0,2,2,5,2,0,0,1,2,3,1,0,1,1,1,0,0,4,0,1,1,0,1,2,1,0,0,0,2,2,1,2,4,4,2,4,6,31,147,649,120,32,4
Beta_1.4,u_263,15,62,130,322,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,1,0,0,0,3,5,0,1,0,0,2,2,2,1,1,0,0,0,2,4,2,0,2,2,1,5,2,0,1,1,5,2,5,0,0,0,1,1,0,6,0,1,0,0,1,8,27,154,586,162,32,5
Beta_1.4,u_264,20,45,129,350,16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,2,0,5,0,3,3,0,0,1,4,1,0,0,2,0,1,0,0,1,1,1,4,2,2,0,0,0,0,0,4,4,2,3,0,3,5,4,2,0,4,6,6,2,31,162,568,155,48,3
Beta_1.4,u_265,9,48,137,359,17,1,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,2,0,0,0,1,2,1,3,0,2,0,1,1,1,3,0,0,0,2,1,2,0,0,0,2,5,1,1,0,2,1,2,1,1,0,2,0,4,2,2,0,1,0,0,9,15,36,154,588,168,40,3
Beta_1.4,u_266,10,46,118,371,16,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,3,0,1,0,1,1,0,0,0,1,0,1,1,4,0,1,1,0,1,1,2,2,3,0,0,0,1,2,1,2,1,1,2,6,1,1,0,2,2,2,9,34,156,555,177,54,11
Beta_1.4,u_267,9,50,102,341,19,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,0,0,3,2,2,0,0,1,2,2,0,2,0,0,3,2,2,5,1,0,2,1,4,29,156,607,205,36,9
Beta_1.4,u_268,17,45,94,313,23,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,4,2,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,1,0,3,2,1,3,4,3,0,1,1,2,6,27,148,657,188,36,5
Beta_1.4,u_269,24,42,100,290,17,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,4,3,1,0,0,3,0,0,0,2,2,0,0,0,0,0,1,1,1,0,0,2,1,0,2,0,0,0,0,0,1,3,1,1,0,0,3,2,1,3,2,8,33,177,675,160,25,5
Beta_1.4,u_270,14,50,125,277,18,1,1,0,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,3,4,4,1,1,0,2,1,0,1,0,1,1,0,0,0,0,4,0,1,0,0,2,4,1,1,0,2,0,0,2,4,3,0,1,0,0,2,0,1,2,8,32,158,681,171,40,8
Beta_1.4,u_271,15,64,110,280,15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,5,0,0,0,1,0,0,0,2,0,0,3,4,1,1,0,1,2,3,0,0,1,0,0,1,1,0,0,2,2,5,1,0,0,0,6,0,0,2,0,9,39,148,685,161,38,0
Beta_1.4,u_272,13,70,127,283,16,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,5,1,2,3,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,1,2,0,1,3,3,3,1,1,1,0,3,2,0,2,0,2,4,1,3,4,29,153,685,138,21,0
