Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40
Beta_1.2,u_188,30,156,224,2,0,0,0,2,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,2,0,0,2,3,0,1,3,5,0,0,1,0,0,0,1,0,2,4,1,1,2,1,2,4,1,3,2,3,4,3,3,3,0,0,4,0,10,73,510,209,19
Beta_1.2,u_189,35,130,231,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,2,0,1,4,2,0,0,1,0,2,1,0,0,0,2,3,1,5,1,1,1,3,1,4,1,1,2,1,2,1,1,0,1,1,4,4,2,10,73,473,221,26
Beta_1.2,u_190,38,135,232,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,1,0,0,0,0,2,0,2,2,0,1,0,3,0,2,0,0,1,0,1,0,3,0,4,1,0,1,0,0,2,4,2,5,0,0,2,4,2,5,2,1,3,6,59,465,245,33
Beta_1.2,u_191,42,131,222,2,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,1,1,1,4,2,0,1,0,0,3,0,0,0,0,1,0,2,2,0,2,0,1,2,0,2,1,0,2,2,4,1,1,0,0,2,3,6,3,8,69,452,282,20
Beta_1.2,u_192,31,144,222,1,0,0,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,4,1,0,1,5,0,0,0,0,1,1,0,1,0,4,1,0,0,0,2,0,1,1,3,0,2,0,0,3,1,2,1,2,4,8,56,498,291,9
Beta_1.2,u_193,29,147,209,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,3,5,1,0,1,0,0,0,0,0,0,1,4,2,0,0,1,1,0,2,1,0,1,0,3,1,1,1,1,3,1,2,4,2,9,59,517,267,29
Beta_1.2,u_194,38,136,200,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,3,2,2,0,0,1,0,0,4,1,1,0,1,0,0,0,0,0,0,0,0,2,5,4,0,0,3,4,4,3,0,1,3,3,8,58,538,254,12
Beta_1.2,u_195,39,134,192,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,2,5,1,0,0,2,0,0,1,2,0,0,0,0,1,0,0,3,1,3,1,0,1,0,1,3,2,0,1,2,0,10,4,1,8,62,569,204,17
Beta_1.2,u_196,45,147,183,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,4,4,0,1,2,0,0,0,2,1,1,0,0,0,2,2,0,1,0,3,0,0,0,2,2,1,0,5,0,4,1,2,1,2,11,53,563,224,14
Beta_1.2,u_197,45,157,163,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,3,2,5,5,3,0,0,0,2,0,0,1,2,0,3,0,0,1,1,0,3,2,0,0,0,0,3,0,1,1,1,3,0,1,4,1,5,63,561,185,31
