Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32
Beta_2.15,M306,149,222,10,35,60,16,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,5,3,4,7,19,124,61,132,76,85,109,142,129,106,81,68,109,95,13,13,12,13,12,16,16,14,18,15,26,38,0
Beta_2.15,M307,146,256,12,22,58,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,5,2,2,5,23,115,66,105,103,83,117,145,127,109,91,55,100,104,25,9,12,9,10,13,15,17,15,11,23,48,0
Beta_2.15,M308,154,234,7,34,58,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,2,2,3,19,114,68,97,110,85,108,144,130,103,87,53,89,111,33,9,11,7,7,11,12,15,15,17,26,60,0
Beta_2.15,M309,167,238,8,33,52,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,3,1,3,19,112,75,99,93,103,116,151,131,102,90,58,73,114,34,9,11,7,6,8,10,13,15,15,18,59,0
Beta_2.15,M310,159,227,7,34,48,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,2,3,18,112,70,97,97,96,122,156,134,101,94,52,62,113,25,13,10,6,6,7,7,10,13,13,17,82,0
Beta_2.15,M311,168,249,8,44,41,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,2,1,1,4,18,106,81,94,91,81,118,172,136,98,97,48,56,111,26,9,8,7,6,6,6,8,10,9,13,84,0
Beta_2.15,M312,163,237,9,46,36,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,1,1,2,23,101,78,96,83,87,105,187,140,101,100,54,53,105,30,7,8,7,5,6,5,6,3,7,4,48,22
Beta_2.15,M313,169,237,8,59,28,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,2,1,4,9,107,79,91,83,77,95,176,166,95,106,56,56,107,25,9,5,7,5,5,5,2,0,0,0,43,6
Beta_2.15,M314,192,230,10,55,27,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,8,3,5,12,109,86,95,79,82,90,163,166,110,112,57,57,104,23,12,7,5,5,5,5,2,0,0,42,0,4
Beta_2.15,M315,182,224,9,47,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,9,7,8,14,105,93,91,74,80,101,152,157,116,120,44,70,98,23,11,7,6,4,4,3,1,42,0,0,0,4
Beta_2.15,M316,182,220,6,53,42,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,5,9,7,118,95,91,64,77,98,157,154,93,149,42,61,108,18,14,7,4,2,44,2,2,0,0,0,0,3
Beta_2.15,M317,167,209,10,59,44,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,6,7,11,117,99,92,60,82,109,157,149,74,154,66,66,100,66,15,6,5,5,3,2,0,0,0,0,0,3
Beta_2.15,M318,174,226,7,59,46,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,6,117,107,91,63,82,109,164,145,113,150,45,82,103,41,16,9,6,3,0,0,0,0,0,0,0,2
Beta_2.15,M319,175,209,9,73,46,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,4,103,113,123,83,76,111,175,138,93,148,51,81,90,43,18,9,8,5,7,1,0,0,0,0,2,0
Beta_2.15,M320,166,227,8,67,49,9,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,10,7,97,124,101,83,68,111,178,144,82,153,63,76,85,46,18,10,6,8,3,3,4,3,0,0,3,0
Beta_2.15,M321,159,213,23,64,48,11,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,3,2,10,8,80,136,96,72,74,104,189,145,91,148,69,73,76,32,19,15,6,6,3,3,3,4,5,5,5,0
Beta_2.15,M322,148,224,24,61,47,9,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,3,2,8,9,76,139,97,75,73,102,186,136,95,149,86,66,63,36,20,11,10,7,3,3,3,3,5,7,15,0
Beta_2.15,M323,140,214,23,57,46,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,4,3,11,10,77,139,102,67,67,109,188,131,87,147,91,71,53,28,31,12,10,5,4,2,3,3,4,6,14,0
Beta_2.15,M324,131,221,21,66,43,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,8,3,13,3,74,135,110,58,65,107,190,146,78,142,106,74,53,23,20,19,7,6,4,2,3,3,3,6,12,0
Beta_2.15,M325,138,224,22,63,40,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3,3,16,7,78,136,111,59,61,111,188,149,72,124,120,87,35,28,16,19,9,6,4,2,3,3,3,6,10,0
Beta_2.15,M326,137,210,22,54,50,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,6,5,16,7,76,134,109,62,50,112,187,153,72,115,122,93,45,25,17,15,11,4,5,2,3,2,3,6,8,0
Beta_2.15,M327,158,225,22,65,50,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,12,4,19,9,80,128,116,60,55,110,187,145,86,98,134,89,37,35,17,16,10,7,5,2,2,2,3,5,7,0
Beta_2.15,M328,154,226,21,55,54,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,13,8,18,14,75,141,106,64,57,110,187,145,87,80,149,86,38,32,33,18,10,7,7,2,2,2,3,5,6,0
Beta_2.15,M329,142,220,23,53,52,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,11,9,16,21,78,143,100,63,61,107,185,147,94,70,158,70,46,35,36,16,13,8,7,2,2,2,3,5,4,0
Beta_2.15,M330,132,236,30,51,63,6,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,13,7,10,14,19,89,139,104,62,66,112,182,144,101,69,167,62,39,50,28,19,15,8,7,3,2,2,3,5,3,0
Beta_2.15,M331,132,227,28,41,60,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,9,6,21,18,102,140,100,69,65,109,180,152,99,70,174,64,46,40,22,15,14,10,6,4,1,3,2,6,2,0
Beta_2.15,M332,128,233,41,42,58,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,5,5,23,19,106,140,95,66,61,108,171,158,112,81,171,52,28,38,24,18,14,11,7,4,1,3,2,6,1,0
Beta_2.15,M333,125,242,50,40,63,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,11,7,4,17,18,93,147,93,77,76,112,175,151,109,71,177,51,26,40,19,24,16,12,9,6,2,2,2,7,2,0
Beta_2.15,M334,134,229,48,24,52,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,7,4,18,25,94,161,96,66,67,107,170,140,112,78,174,65,21,42,13,27,18,14,8,8,2,2,2,8,3,0
Beta_2.15,M335,119,231,59,27,52,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,13,11,20,18,91,136,106,85,75,103,170,142,96,99,183,67,24,28,26,21,20,17,9,8,3,2,2,9,3,0
Beta_2.15,M336,131,227,61,28,61,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,7,5,29,6,94,118,110,101,77,110,170,132,101,83,180,91,25,23,30,12,23,19,14,8,5,3,2,6,6,0
Beta_2.15,M337,140,221,57,21,62,2,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,12,7,5,31,7,99,118,92,127,79,111,164,130,101,75,177,93,33,21,27,21,13,23,16,10,7,2,3,5,8,0
Beta_2.15,M338,138,222,66,26,64,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,6,5,27,7,100,111,89,129,97,120,160,123,91,78,156,111,38,22,20,30,13,13,24,13,8,2,3,5,8,0
