Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B1_46,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45,B2_46
Beta_2.20,M507,33,73,32,135,12,62,59,22,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,9,14,36,146,147,37,58,102,197,226,87,90,59,80,48,30,48,10,18,1,8,17,14,2,7,10,4,7,41,32,4,2,1,0,0,0,0,0,0,0,0
Beta_2.20,M508,32,70,30,141,14,64,59,16,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,4,19,30,143,155,38,52,111,199,240,83,66,45,113,51,29,38,11,17,6,5,9,11,6,16,10,4,4,6,49,22,0,1,1,0,0,0,0,0,0,0
Beta_2.20,M509,38,66,32,133,19,64,55,19,2,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,1,17,26,136,152,33,56,110,215,225,87,65,37,97,75,30,44,6,13,12,3,5,14,13,14,1,3,1,3,5,52,20,0,1,0,0,0,0,0,0,0
Beta_2.20,M510,31,71,32,139,19,64,56,32,1,0,0,1,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,16,25,134,146,33,49,101,233,218,104,56,34,81,56,44,62,11,5,20,17,11,6,6,2,5,1,1,2,3,3,45,28,0,1,0,0,0,0,0,0
Beta_2.20,M511,31,73,34,135,21,65,55,36,0,0,1,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,1,4,11,26,138,142,39,52,94,196,264,115,54,38,84,41,52,79,22,11,5,14,14,7,0,3,3,1,1,1,1,2,3,26,46,0,1,0,0,0,0,0
Beta_2.20,M512,35,65,40,145,17,65,53,37,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,4,6,25,138,151,32,53,93,170,271,136,63,43,80,30,48,69,19,20,4,7,10,7,2,1,3,6,2,1,1,0,1,2,11,62,1,2,0,0,0,0
Beta_2.20,M513,33,72,37,151,52,36,57,32,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,7,2,9,24,160,139,32,50,95,144,255,140,83,46,75,31,35,74,22,12,8,16,7,6,1,1,1,1,4,1,3,2,3,0,1,2,66,3,2,0,0,0
Beta_2.20,M514,70,30,38,148,67,24,61,32,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,5,4,9,18,162,136,31,71,98,138,245,137,94,76,68,34,40,51,35,9,11,13,10,8,3,1,0,1,1,3,1,1,1,2,2,4,0,41,25,2,0,0
Beta_2.20,M515,72,30,49,147,67,17,59,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,3,5,3,8,12,172,128,39,85,102,124,248,116,97,96,66,43,39,41,47,10,6,21,5,5,6,0,0,0,2,1,1,3,1,1,2,1,2,4,26,34,2,0
Beta_2.20,M516,69,32,54,145,63,18,58,30,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,7,1,1,3,9,176,103,62,72,97,138,235,122,77,114,73,70,31,34,45,19,6,16,10,5,0,0,0,0,0,0,0,0,4,2,1,2,1,3,3,15,44,2
Beta_2.20,M517,69,28,72,147,67,11,54,35,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,4,0,2,2,1,2,15,166,105,73,49,110,137,198,149,73,103,84,81,49,26,59,21,6,11,10,2,0,0,0,0,0,0,0,0,0,0,0,3,3,2,5,5,21,30
