Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45
Beta_2.20,M379,26,68,222,73,7,12,120,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,8,4,3,3,10,211,127,146,116,113,60,65,131,155,119,171,51,67,29,29,59,23,35,24,23,32,10,10,2,2,0,1,1,1,1,1,1,5,3,0,0,0
Beta_2.20,M380,30,65,212,78,8,13,113,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,2,4,1,4,7,204,135,153,123,108,74,65,120,150,133,168,60,44,29,35,42,29,25,23,27,20,10,7,5,0,1,1,0,1,1,1,2,6,1,0,0,0
Beta_2.20,M381,28,69,213,75,9,16,110,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,9,8,6,13,197,135,145,122,104,73,70,134,144,135,121,104,46,33,24,29,35,22,16,24,13,14,9,2,3,2,0,1,1,1,1,1,7,1,0,0,0
Beta_2.20,M382,28,48,228,73,7,10,112,9,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,3,2,6,4,17,198,141,150,120,108,74,75,142,144,124,112,118,37,29,12,37,22,33,17,11,19,14,13,5,3,0,2,1,1,0,2,1,6,0,0,0,0
Beta_2.20,M383,31,52,218,82,7,16,109,13,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,7,6,4,15,12,208,147,121,145,104,69,80,139,147,130,108,134,30,24,9,32,22,22,22,14,7,18,9,7,6,1,1,0,1,1,1,2,7,0,0,0,0
Beta_2.20,M384,30,54,218,78,5,21,106,19,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,6,3,2,4,6,6,201,155,91,167,108,60,93,147,140,120,110,99,78,24,10,16,33,18,13,27,6,6,10,11,4,6,2,0,1,1,1,1,6,0,0,0,0
Beta_2.20,M385,27,51,215,75,2,19,105,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,2,3,3,4,7,8,198,153,94,160,107,69,97,133,143,121,115,84,89,23,12,9,25,19,10,12,15,7,7,5,8,3,1,2,1,1,1,1,6,0,0,0,0
Beta_2.20,M386,24,55,218,76,4,43,80,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,5,2,3,1,3,6,10,201,149,89,167,108,66,95,136,137,117,102,105,79,37,19,15,15,27,11,13,6,10,8,10,4,3,3,2,2,0,1,2,5,0,0,0,0
Beta_2.20,M387,29,48,220,74,3,70,48,22,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,4,1,4,7,6,195,156,87,177,98,65,93,143,139,112,100,95,45,90,21,12,10,26,14,12,9,6,7,9,7,7,1,1,0,3,1,2,5,0,0,0,0
Beta_2.20,M388,26,55,244,32,6,73,44,24,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,2,3,3,8,5,197,161,87,169,100,75,92,145,132,114,91,100,44,94,33,13,10,22,21,12,12,12,5,4,7,1,4,3,0,1,2,1,5,0,0,0,0
