Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43
Beta_2.15,M406,48,142,230,26,12,71,58,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,2,16,110,129,72,71,81,99,135,185,124,113,76,53,55,81,64,40,23,19,3,4,5,4,7,9,5,6,25,14,14,14,17,70,16,0,0
Beta_2.15,M407,40,142,222,39,11,63,60,5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,1,1,19,102,124,80,58,83,108,140,179,123,121,68,52,43,87,57,39,17,15,9,3,15,21,14,12,12,10,11,11,16,53,4,4,10,11,0
Beta_2.15,M408,43,142,223,29,15,61,63,5,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,2,19,91,126,83,61,64,93,151,187,123,120,58,59,44,74,67,47,35,17,30,10,8,9,10,13,17,57,6,2,2,2,0,0,0,13,0
Beta_2.15,M409,48,123,229,29,18,62,70,8,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,21,103,131,88,56,65,95,174,203,125,121,68,57,46,73,50,55,38,22,22,40,37,3,5,4,5,4,4,4,0,0,0,0,0,11,0
Beta_2.15,M410,45,126,220,37,21,49,59,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,25,106,147,84,55,72,90,160,192,151,117,62,53,47,94,48,51,50,4,11,10,15,4,3,3,4,4,5,2,1,0,0,0,0,7,0
Beta_2.15,M411,51,119,225,32,26,48,68,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,24,111,133,89,67,83,106,157,187,150,128,62,48,27,42,70,41,57,9,8,10,3,9,5,4,2,3,0,2,0,0,0,0,0,3,0
Beta_2.15,M412,56,111,211,37,33,47,65,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,2,26,129,135,91,55,66,92,158,190,167,122,76,48,31,20,59,44,48,16,9,5,5,3,1,9,2,3,0,0,1,0,0,0,0,2,0
Beta_2.15,M413,51,104,231,34,36,37,71,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,3,1,25,118,139,88,57,65,86,164,186,154,136,59,61,42,18,40,40,61,17,8,6,6,1,1,2,2,1,2,0,0,0,0,0,0,1,0
Beta_2.15,M414,40,103,207,32,48,27,67,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,9,26,127,151,78,60,57,86,162,187,163,129,65,37,61,18,36,34,54,28,5,11,3,1,1,1,1,2,1,1,0,0,0,0,0,1,0
Beta_2.15,M415,30,101,219,37,54,18,69,4,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,1,3,13,33,137,150,74,60,58,84,146,195,164,119,71,34,55,31,21,47,44,21,9,5,4,5,3,4,2,2,0,0,0,0,0,0,0,1,0
