Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37
Beta_1.95,M454,21,89,68,58,105,104,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,2,2,2,1,27,101,184,163,97,87,75,42,40,57,100,73,48,49,34,33,46,53,12,6,3,10,14,61,3,0,0,0,0,0
Beta_1.95,M455,19,95,72,64,83,106,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,2,2,1,3,21,112,171,174,101,84,62,54,42,60,36,117,56,46,39,34,31,54,31,8,4,8,15,55,4,0,0,0,0,0
Beta_1.95,M456,21,80,74,67,82,110,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,3,2,2,5,31,111,167,169,99,81,66,44,36,65,49,88,66,53,39,32,33,41,52,8,4,4,11,50,3,0,0,0,0,0
Beta_1.95,M457,24,102,70,80,83,116,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,1,1,0,2,41,97,163,173,98,77,66,37,44,46,63,43,111,53,45,33,33,36,58,12,3,3,12,41,8,0,0,0,0,0
Beta_1.95,M458,25,95,69,74,91,116,27,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,2,39,112,161,178,97,77,77,43,39,51,56,33,95,77,48,35,36,33,52,26,4,3,5,32,17,0,0,0,0,0
Beta_1.95,M459,22,101,66,62,84,116,28,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,48,114,160,182,106,76,79,39,41,57,48,35,34,117,61,40,33,36,44,45,4,2,7,3,40,0,0,0,0,0
Beta_1.95,M460,35,111,71,79,76,110,25,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,52,116,153,178,111,74,83,45,40,51,61,27,31,50,106,47,36,36,40,62,4,1,5,9,35,0,0,0,0,0
Beta_1.95,M461,35,108,72,79,78,112,26,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,48,108,157,175,112,72,85,48,44,45,61,26,32,26,84,85,41,39,41,61,17,2,4,5,34,0,0,0,0,0
Beta_1.95,M462,35,104,74,67,81,121,27,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,50,131,161,169,120,72,90,43,46,53,63,24,37,24,25,108,66,35,42,52,42,2,3,6,30,0,0,0,0,0
Beta_1.95,M463,56,91,79,67,75,117,28,3,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,47,146,159,166,123,78,95,45,55,54,61,25,37,22,24,48,108,44,41,48,61,2,3,5,26,0,0,0,0,0
Beta_1.95,M464,63,98,96,49,75,113,25,2,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,42,158,166,153,131,80,96,53,67,39,52,37,33,29,25,19,77,84,45,46,74,8,2,5,22,0,0,0,0,0
Beta_1.95,M465,79,85,94,46,79,119,29,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,34,170,164,149,135,82,95,56,60,41,46,38,39,25,23,23,15,103,69,49,55,45,3,6,20,0,0,0,0,0
Beta_1.95,M466,89,84,88,47,83,118,30,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,32,164,166,139,137,80,110,56,59,37,46,47,31,40,17,22,16,16,119,68,54,67,2,5,18,0,0,0,0,0
